issuer,month,pd,thr,status,jpg,png
MJD,2026-08,0.9771804840156187,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_MJD.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_MJD.png
EP,2026-08,0.9398561395566579,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_EP.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_EP.png
CI,2026-08,0.9171845253622258,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_CI.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_CI.png
TPOLY,2026-06,0.9126047586707954,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_TPOLY.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_TPOLY.png
MUD,2026-08,0.6942794197009968,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_MUD.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_MUD.png
NRF,2026-08,0.6457002264983009,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_NRF.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_NRF.png
PF,2026-05,0.4775267282385028,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_PF.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_PF.png
A,2026-01,0.21942209845421334,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_A.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_A.png
NWR,2026-08,0.17394694653360276,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_NWR.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_NWR.png
S,2026-08,0.14207077337363344,0.06600172543266378,HIGH RISK,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_jpg\lime_shap_S.jpg,d:\tadgan_gaf\cmdf_credit_app\thaibma\dataset\datasets_bond\tex_out\lime_figs\lime_shap_S.png
